name,exaggeration,cfg_weight,temperature,load_mem_allot,load_mem_reserved,eval_mem_allot,eval_mem_reserved,gen_duration,audio_length,file_size,sentences,words,avg_words
thesis_abstract,0.8,0.5,0.8,6759699968,6786383872,6759699968,7688159232,5.301608562469482,27.28,2618960,3,57,6.7
matariki_light_pollution,0.7,0.3,0.8,6767370240,6845104128,6767370240,7803502592,5.6160643100738525,28.52,2738000,3,67,5.19
matariki_light_pollution,0.5,0.5,0.2,6769311232,6845104128,6769311232,7797211136,5.555445194244385,28.32,2718800,3,67,5.19
matariki_light_pollution,0.5,0.5,1.0,6767601152,6849298432,6767601152,7751073792,5.414183139801025,27.44,2634320,3,67,5.19
matariki_light_pollution,0.5,0.5,0.5,6765783552,6843006976,6765783552,7935623168,6.269556760787964,31.16,2991440,3,67,5.19
thesis_abstract,0.6,0.3,0.8,6770533888,6834618368,6770533888,8118075392,6.513063669204712,32.64,3133520,3,57,6.7
matariki_light_pollution,0.6,0.6,1.0,6771100160,6845104128,6771100160,7751073792,5.4046852588653564,27.52,2642000,3,67,5.19
thesis_abstract,0.6,0.6,0.8,6762823168,6824132608,6762823168,8122269696,6.214155197143555,31.12,2987600,3,57,6.7
matariki_light_pollution,0.8,0.6,0.5,6769347072,6847201280,6769347072,7633633280,4.852577209472656,24.88,2388560,3,67,5.19
thesis_abstract,0.6,0.3,0.2,6767728128,6836715520,6767728128,8594128896,8.04684853553772,40.0,3840080,3,57,6.7
thesis_abstract,0.8,0.3,0.2,6761850368,6784286720,6761850368,8541700096,8.120319366455078,40.0,3840080,3,57,6.7
matariki_light_pollution,0.7,0.3,1.0,6768430592,6840909824,6768430592,7780433920,5.553999185562134,28.24,2711120,3,67,5.19
thesis_abstract,0.8,0.6,0.8,6754096640,6771703808,6754096640,7761559552,5.558795213699341,28.52,2738000,3,57,6.7
thesis_abstract,0.5,0.5,1.0,6768396800,6838812672,6768396800,7841251328,5.7648890018463135,29.44,2826320,3,57,6.7
matariki_light_pollution,0.7,0.6,0.5,6772874240,6847201280,6772874240,7681867776,5.104869365692139,26.0,2496080,3,67,5.19
thesis_abstract,0.7,0.6,0.5,6762692096,6805258240,6762692096,7610564608,4.963788986206055,25.4,2438480,3,57,6.7
matariki_light_pollution,0.6,0.5,0.5,6770442752,6861881344,6770442752,7748976640,5.31009316444397,27.0,2592080,3,67,5.19
matariki_light_pollution,0.4,0.6,0.2,6769892864,6840909824,6769892864,7742685184,5.3991782665252686,27.44,2634320,3,67,5.19
matariki_light_pollution,0.6,0.5,0.2,6768403968,6851395584,6768403968,7753170944,5.335955619812012,27.28,2618960,3,67,5.19
thesis_abstract,0.4,0.3,0.2,6768455680,6838812672,6768455680,8596226048,8.053142786026001,40.0,3840080,3,57,6.7
matariki_light_pollution,0.5,0.5,0.8,6765921792,6843006976,6765921792,7744782336,5.349296569824219,27.28,2618960,3,67,5.19
thesis_abstract,0.6,0.3,1.0,6768086528,6840909824,6768086528,8183087104,6.826418876647949,33.48,3214160,3,57,6.7
matariki_light_pollution,0.6,0.5,0.8,6771584512,6840909824,6771584512,7899971584,5.988862037658691,30.56,2933840,3,67,5.19
thesis_abstract,0.5,0.5,0.8,6767795712,6836715520,6767795712,7843348480,5.813615322113037,29.64,2845520,3,57,6.7
thesis_abstract,0.8,0.3,0.5,6759482880,6796869632,6759482880,7870611456,6.031846284866333,30.96,2972240,3,57,6.7
thesis_abstract,0.4,0.6,1.0,6766818816,6838812672,6766818816,8000634880,6.391950130462647,31.84,3056720,3,57,6.7
matariki_light_pollution,0.7,0.5,1.0,6770619904,6840909824,6770619904,7709130752,5.2418529987335205,26.68,2561360,3,67,5.19
matariki_light_pollution,0.6,0.3,0.5,6773300736,6838812672,6773300736,7891582976,5.960000038146973,30.32,2910800,3,67,5.19
thesis_abstract,0.7,0.5,0.2,6765436416,6803161088,6765436416,7805599744,5.762459993362427,29.44,2826320,3,57,6.7
matariki_light_pollution,0.5,0.3,1.0,6769656320,6845104128,6769656320,7803502592,5.635644912719727,28.56,2741840,3,67,5.19
thesis_abstract,0.4,0.5,0.2,6767992320,6851395584,6767992320,8608808960,8.045864820480347,40.0,3840080,3,57,6.7
thesis_abstract,0.6,0.6,1.0,6766990848,6826229760,6766990848,7665090560,5.14011025428772,26.08,2503760,3,57,6.7
